Transaction,Item,date_time
166,_tt_120,2024-03
167,_tt_160,2024-03
168,_rak_sepatu+kursi,2024-03
169,_tt_160,2024-03
170,_tt_140,2024-03
171,_tt_160,2024-03
171,_tt_160,2024-03
172,_tt_140,2024-03
173,_tt_160,2024-03
173,_tt_160,2024-03
174,_rak_sepatu+kursi,2024-03
175,_tt_180,2024-03
176,_tt_180,2024-03
177,_tt_160,2024-03
178,_tt_160,2024-03
179,_tt_160,2024-03
180,_tt_160,2024-03
181,_tt_200,2024-03
182,_tt_180,2024-03
183,_set_tamu_2111TK,2024-03
184,_set_tamu_2111,2024-03
185,_tt_L160L,2024-03
186,_meja_tv_150,2024-03
187,_tt_180,2024-03
188,_tt_100,2024-03
189,_tt_100,2024-03
190,_tt_A+B120,2024-03
190,_tt_180,2024-03
191,_tt_160,2024-03
192,_tt_200,2024-03
193,_tt_160,2024-03
194,_tt_180,2024-03
195,_tt_180,2024-03
196,_tt_A+B120,2024-03
197,_tt_180,2024-03
198,_tt_180_km_15,2024-03
198,_tt_160_km_15,2024-03
198,_meja_rias,2024-03
198,_lemari_makan,2024-03
198,_lemari_makan,2024-03
198,_mm_tv,2024-03
198,_mm_tv,2024-03
199,_set_tamu_2111,2024-03
299,_tt_180,2024-03
300,_tt_180,2024-03
301,_tt_140,2024-03
302,_tt_160,2024-03
303,_tt_180,2024-03
304,_tt_160,2024-03
305,_tt_160,2024-03
306,_tt_180,2024-03
307,_set_tamu,2024-03
308,_set_tamu_sedan_211,2024-03
309,_tt_160,2024-03
309,_tt_L200,2024-03
310,_rak_sepatu+kursi,2024-03
311,_tt_160,2024-03
311,_tt_200,2024-03
312,_Lmm,2024-03
312,_mm_120,2024-03
312,_tt_200,2024-03
313,_tt_180,2024-03
314,_tt_160,2024-03
315,_tt_160,2024-03
316,_tt_160,2024-03
317,_tt_134,2024-03
318,_tt_160,2024-03
319,_tt_180_km_15,2024-03
320,_tt_180,2024-03
321,_tt_180,2024-03
322,_tt_180,2024-03
323,_set_tamu_betawi_11,2024-03
324,_tt_L180R,2024-03
325,_set_sudut,2024-03
326,_tt_A+B100,2024-03
327,_set_tamu_2111TK,2024-03
328,_meja_tv_100,2024-03
329,_tt_180,2024-03
330,_set_tamu_2111TL,2024-03
331,_tt_140,2024-03
332,_set_sudut,2024-03
333,_kursi_males,2024-03
333,_meja_rias,2024-03
334,_tt_140,2024-03
335,_meja_tv_100,2024-03
336,_tt_L120R,2024-03
337,_tt_120,2024-03
338,_set_tamu_sedan_211,2024-03
339,_lemari_makan,2024-03
340,_set_sudut,2024-03
341,_tt_180,2024-03
342,_tt_160,2024-03
343,_rak_sepatu+kursi,2024-03
344,_tt_160,2024-03
344,_tt_120,2024-03
345,_tt_L160R,2024-03
346,_tt_140,2024-03
347,_tt_160,2024-03
348,_tt_120,2024-03
349,_tt_160,2024-03
350,_rak_sepatu+kursi,2024-03
351,_set_tamu,2024-03
352,_tt_180,2024-03
352,_tt_180,2024-03
352,_tt_180,2024-03
352,_tt_180,2024-03
352,_mm_kamar_persegi,2024-03
352,_mm_kamar_persegi,2024-03
352,_mm_kamar_persegi,2024-03
352,_mm_kamar_persegi,2024-03
352,_mm_kamar_persegi,2024-03
352,_mm_kamar_persegi,2024-03
352,_mm_kamar_persegi,2024-03
352,_mm_kamar_persegi,2024-03
353,_tt_180,2024-03
354,_tt_120,2024-03
355,_tt_160,2024-03
356,_set_tamu_sedan_211,2024-03
357,_tt_180,2024-03
358,_meja_tv_200,2024-03
359,_tt_180,2024-03
360,_tt_160,2024-03
361,_set_tamu_2111TK,2024-03
362,_tt_180,2024-03
363,_tt_200,2024-03
364,_set_tamu,2024-03
365,_meja_tv_150,2024-03
366,_set_tamu_2111TK,2024-03
367,_set_tamu,2024-03
368,_tt_160,2024-03
368,_tt_160,2024-03
369,_set_tamu_sedan_211,2024-03
370,_tt_160,2024-03
371,_tt_140,2024-03
372,_tt_180,2024-03
373,_tt_160,2024-03
374,_tt_180,2024-03
375,_mm_tv_150+laci,2024-03
376,_tt_160,2024-03
377,_set_tamu_2111,2024-03
378,_tt_160,2024-03
379,_rak_sepatu+kursi,2024-03
380,_mm_kamar,2024-03
381,_set_tamu_sedan_211,2024-03
382,_tt_L160L,2024-03
383,_tt_160,2024-03
384,_meja_tv_100,2024-03
385,_meja_tv_100,2024-03
386,_tt_180,2024-03
387,_set_tamu_2111+1,2024-03
388,_tt_200,2024-03
389,_tt_160,2024-03
390,_tt_160,2024-03
301,_tt_180,2024-03
302,_mm_tv_2x3,2024-03
303,_tt_160,2024-03
304,_tt_180,2024-03
305,_tt_160,2024-03
306,_tt_180,2024-03
307,_tt_L180L,2024-03
307,_mm_kamar_1,2024-03
308,_tt_L160,2024-04
309,_tt_120,2024-04
310,_tt_160,2024-04
311,_tt_160,2024-04
312,_set_tamu_2111,2024-04
311,_tt_180,2024-04
311,_tt_140+100,2024-04
312,_tt_L160R,2024-04
313,_tt_180,2024-04
314,_tt_160,2024-04
315,_tt_L129R,2024-04
316,_tt_90,2024-04
317,_set_tamu_2111TK,2024-04
318,_tt_160,2024-04
319,_tt_160,2024-04
320,_meja_tv_100,2024-04
321,_set_tamu_2111,2024-04
322,_tt_180,2024-04
323,_meja_tv_150,2024-04
324,_tt_180,2024-04
325,_set_sudut,2024-04
